@relation notas_estudiantes

@attribute asistencia numeric
@attribute parcial numeric
@attribute tarea numeric
@attribute nota_final numeric

@data
54.12,11.87,2.66,17.56
69.53,2.16,30.97,24.28
69.93,82.12,15.77,59.78
68.86,36.5,55.51,48.67
79.08,28.85,86.02,56.05
54.38,54.17,14.28,42.24
97.17,48.22,82.78,68.38
57.94,0.93,92.26,39.73
63.06,55.77,73.57,62.57
87.92,26.09,64.19,49.89
74.33,63.86,20.98,53.09
54.83,97.93,22.23,66.6
57.87,59.25,67.14,61.34
72.38,27.27,46.9,42.18
83.41,13.3,72.32,45.03
88.56,26.3,70.66,52.06
58.96,33.41,7.23,30.67
59.11,17.82,8.67,23.33
64.21,24.58,10.9,28.4
87.31,88.92,50.59,77.1
87.35,52.26,57.66,60.9
85.8,3.29,9.23,21.57
72.17,75.1,32.51,61.74
75.46,44.91,57.64,54.84
60.92,24.25,85.85,50.06
90.36,18.08,43.17,40.06
71.4,68.75,44.7,62.06
62.66,63.73,1.12,44.73
76.64,40.07,27.64,43.66
63.19,98.22,14.93,66.23
56.99,46.62,27.46,42.95
89.64,9.0,42.57,35.2
63.42,27.49,98.69,56.04
86.92,86.28,60.68,78.73
56.95,32.46,92.03,55.23
90.86,78.02,84.81,82.62
60.22,77.67,79.16,74.63
87.07,15.18,84.45,50.34
53.0,13.9,89.58,44.42
55.01,44.41,96.99,62.3
80.46,15.56,44.63,37.26
74.42,33.88,77.68,55.13
96.92,34.85,97.43,66.04
60.69,94.95,67.49,79.86
51.36,97.41,68.39,79.49
84.27,50.66,50.77,57.41
95.83,27.84,2.5,33.84
63.73,89.15,86.54,83.28
74.35,63.53,97.06,75.75
82.31,48.58,70.46,61.89
82.06,80.97,92.31,84.59
58.52,70.89,35.69,57.86
84.87,21.62,7.08,29.91
87.58,89.07,0.24,62.12
84.38,36.63,30.69,44.4
53.64,48.94,21.1,41.53
59.56,85.99,36.98,66.0
74.98,97.48,97.34,92.94
87.76,62.92,24.74,56.43
62.84,53.58,47.36,53.57
87.44,74.54,31.29,64.14
58.8,58.95,40.74,53.46
72.01,13.31,7.16,23.21
88.32,84.61,48.11,74.4
53.46,16.14,27.78,27.1
79.46,30.9,62.8,50.18
64.38,80.55,8.25,55.63
58.53,25.02,10.32,27.31
95.3,28.83,29.36,42.28
73.13,5.21,43.78,30.36
99.42,4.59,17.09,27.31
94.43,71.13,28.6,63.03
89.63,18.02,65.2,46.5
62.61,91.51,34.05,68.49
78.92,26.98,70.55,50.44
76.0,3.51,44.56,30.32
88.71,94.26,41.14,77.21
85.5,50.3,44.99,55.75
66.4,14.4,96.52,49.44
91.17,33.51,81.74,59.51
60.37,76.69,12.63,54.21
92.01,30.44,10.56,36.79
85.3,97.72,59.84,83.87
60.59,83.15,65.34,73.3
50.36,81.51,45.28,64.41
84.07,94.67,40.79,76.39
66.89,76.06,56.53,68.37
96.95,62.33,48.05,64.97
58.33,86.65,96.81,84.03
50.87,26.5,88.54,49.99
58.66,90.57,60.99,75.31
63.35,89.77,61.77,76.09
77.05,23.22,71.79,48.56
85.65,95.23,87.5,91.0
61.92,91.74,67.87,78.61
74.66,7.86,51.08,34.19
60.56,47.82,71.66,57.52
82.95,56.87,38.05,56.44
58.41,88.53,79.27,79.73
74.55,95.02,58.16,79.87
93.29,84.46,73.57,82.96
92.71,78.35,92.11,85.35
69.25,33.21,52.62,46.24
66.12,87.89,99.62,87.06
64.32,13.05,72.78,41.22
93.1,15.84,38.4,38.06
70.91,74.62,29.53,60.35
89.78,94.73,79.92,89.3
56.74,27.86,37.5,36.53
50.17,51.64,62.2,54.51
50.48,93.07,83.96,81.82
57.6,59.85,40.21,53.51
70.8,87.07,83.39,82.71
73.24,73.85,67.58,71.85
81.52,68.87,70.61,71.92
63.47,47.13,52.28,51.94
63.78,9.03,67.42,37.5
99.02,40.32,5.67,41.66
65.04,1.51,64.29,33.05
87.87,29.32,85.8,57.97
95.93,78.17,42.69,71.08
92.88,72.64,45.47,68.54
51.31,87.29,22.73,60.73
96.39,71.2,23.57,61.95
85.79,55.9,70.23,66.18
97.78,38.48,80.28,62.88
60.63,32.4,28.71,36.94
96.62,25.72,1.44,32.62
69.49,67.14,36.91,58.54
62.55,88.23,19.47,62.47
74.48,38.67,6.73,36.25
94.75,13.63,87.82,52.11
53.97,91.45,29.45,65.35
